id,description,sent_at,subject,preheader
1491464,,,Pirate Dev Treasure Map - Publicación #17,
1491424,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2022-12-06 01:19:07 UTC,Pirate Dev Treasure Map - Publicación #16,
275972,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2020-09-05 23:07:44 UTC,Pirate Dev Treasure Map - Issue #3,
791333,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2021-10-01 14:20:13 UTC,Pirate Dev Treasure Map - Publicación #10,
1251495,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2022-09-03 04:48:24 UTC,Pirate Dev Treasure Map - Publicación #15,
269134,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2020-08-06 13:00:01 UTC,Pirate Dev Treasure Map - Issue #2,
1112000,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2022-04-02 19:46:58 UTC,Pirate Dev Treasure Map - Publicación #14,
647153,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2021-06-08 18:03:17 UTC,Pirate Dev Treasure Map - Issue #7,
872962,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2021-11-12 19:06:40 UTC,Pirate Dev Treasure Map - Publicación #11,
1045484,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2022-02-19 20:15:20 UTC,Pirate Dev Treasure Map - Publicación #13,
220456,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2020-06-21 04:00:22 UTC,Pirate Dev Treasure Map - Issue #1,
458261,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2021-03-13 21:22:12 UTC,Pirate Dev Treasure Map - Issue #5,
573578,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2021-04-22 03:00:59 UTC,Pirate Dev Treasure Map - Issue #6,
723743,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2021-08-14 21:39:17 UTC,Pirate Dev Treasure Map - Publicación #9,
956013,"<p>Pirate Dev Treasure Map es un boletín informativo curado para líderes en desarrollo de software. Un proyecto de los creadores de <a href=""https://piratedevradio.tech/"" target=""_blank"">PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y más.</p>",2021-12-26 03:18:38 UTC,Pirate Dev Treasure Map - Publicación #12,
693383,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2021-07-21 03:43:14 UTC,Pirate Dev Treasure Map - Issue #8,
286397,"<p>Pirate Dev Treasure Map es un boletín informativo. Un proyecto de los creadores de <a href=""https://twitter.com/piratedevradio"" target=""_blank"">@PirateDevRadio</a>. Ideal para Desarrolladores de Software, Tech Leads, VPs de Ingeniería y mas.</p>",2020-10-16 17:42:22 UTC,Pirate Dev Treasure Map - Issue #4,
